IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.210.174.156,8443,8443,true,HKG,Asia Pacific,Hong Kong,212,12.03
47.242.232.14,2052,2052,false,HKG,Asia Pacific,Hong Kong,26,8.91
8.217.207.60,2052,2052,false,HKG,Asia Pacific,Hong Kong,336,7.52
8.210.9.129,2096,2096,true,HKG,Asia Pacific,Hong Kong,215,7.06
47.238.40.58,2053,0,true,HKG,Asia Pacific,Hong Kong,156,6.69
47.76.26.26,2053,2053,true,HKG,Asia Pacific,Hong Kong,91,6.58
8.210.34.188,80,80,false,HKG,Asia Pacific,Hong Kong,73,6.57
8.210.207.214,2095,2095,false,HKG,Asia Pacific,Hong Kong,506,6.47
8.210.34.188,2082,2082,false,HKG,Asia Pacific,Hong Kong,74,6.25
8.210.156.6,2052,2052,false,HKG,Asia Pacific,Hong Kong,300,6.23
47.242.234.127,2083,2083,true,HKG,Asia Pacific,Hong Kong,300,6.21
8.210.207.214,2096,2096,true,HKG,Asia Pacific,Hong Kong,132,5.97
47.76.214.139,2083,2083,true,HKG,Asia Pacific,Hong Kong,150,5.78
8.210.42.171,2083,2083,true,HKG,Asia Pacific,Hong Kong,904,5.71
8.210.146.108,8880,8880,false,HKG,Asia Pacific,Hong Kong,55,5.49
43.129.171.137,443,443,true,HKG,Asia Pacific,Hong Kong,731,5.46
47.242.232.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,29,5.46
47.238.0.114,2087,2087,true,HKG,Asia Pacific,Hong Kong,253,5.36
8.218.53.110,2053,2053,true,HKG,Asia Pacific,Hong Kong,116,5.04
47.76.33.40,8080,8080,false,HKG,Asia Pacific,Hong Kong,334,4.93
8.218.174.118,80,80,false,HKG,Asia Pacific,Hong Kong,100,4.63
8.210.175.109,2087,2087,true,HKG,Asia Pacific,Hong Kong,110,4.47
47.238.5.0,2053,2053,true,HKG,Asia Pacific,Hong Kong,551,4.46
47.242.54.157,2095,2095,false,HKG,Asia Pacific,Hong Kong,130,4.22
8.218.122.55,2083,2083,true,HKG,Asia Pacific,Hong Kong,345,4.20
8.218.174.118,2052,2052,false,HKG,Asia Pacific,Hong Kong,300,4.15
47.242.79.71,2082,2082,false,HKG,Asia Pacific,Hong Kong,29,4.07
47.243.203.119,2096,2096,true,HKG,Asia Pacific,Hong Kong,249,4.04
47.242.155.183,2083,2083,true,HKG,Asia Pacific,Hong Kong,148,3.87
8.217.207.60,2082,2082,false,HKG,Asia Pacific,Hong Kong,196,3.80
47.243.27.217,8080,8080,false,HKG,Asia Pacific,Hong Kong,511,3.76
47.243.203.119,8880,8880,false,HKG,Asia Pacific,Hong Kong,241,3.71
47.76.26.26,2095,2095,false,HKG,Asia Pacific,Hong Kong,95,3.62
47.242.202.230,8080,8080,false,HKG,Asia Pacific,Hong Kong,167,3.58
8.210.101.157,2052,2052,false,HKG,Asia Pacific,Hong Kong,221,3.58
47.76.222.57,2053,2053,true,HKG,Asia Pacific,Hong Kong,32,3.57
47.76.222.57,2083,2083,true,HKG,Asia Pacific,Hong Kong,77,3.52
8.210.175.109,2086,2086,false,HKG,Asia Pacific,Hong Kong,119,3.47
8.218.81.14,2096,2096,true,HKG,Asia Pacific,Hong Kong,72,3.45
8.210.9.129,8080,8080,false,HKG,Asia Pacific,Hong Kong,103,3.40
8.210.174.156,2082,2082,false,HKG,Asia Pacific,Hong Kong,338,3.34
8.210.207.214,8443,8443,true,HKG,Asia Pacific,Hong Kong,533,3.34
8.210.146.108,2052,2052,false,HKG,Asia Pacific,Hong Kong,55,3.29
47.238.35.50,2087,2087,true,HKG,Asia Pacific,Hong Kong,93,3.28
8.210.3.24,2052,2052,false,HKG,Asia Pacific,Hong Kong,256,3.24
8.217.232.246,2095,2095,false,HKG,Asia Pacific,Hong Kong,249,3.22
8.210.174.156,2083,2083,true,HKG,Asia Pacific,Hong Kong,209,3.20
47.242.232.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,29,3.12
47.243.27.217,2082,2082,false,HKG,Asia Pacific,Hong Kong,91,3.09
47.242.42.153,2096,2096,true,HKG,Asia Pacific,Hong Kong,93,3.01
8.217.207.60,8080,8080,false,HKG,Asia Pacific,Hong Kong,330,2.99
8.210.175.109,80,80,false,HKG,Asia Pacific,Hong Kong,139,2.92
47.243.27.217,8880,8880,false,HKG,Asia Pacific,Hong Kong,120,2.77
47.238.0.114,2053,2053,true,HKG,Asia Pacific,Hong Kong,409,2.76
47.242.155.183,2087,2087,true,HKG,Asia Pacific,Hong Kong,145,2.75
8.217.145.40,2083,2083,true,HKG,Asia Pacific,Hong Kong,166,2.70
47.238.43.79,2087,2087,true,HKG,Asia Pacific,Hong Kong,162,2.69
47.242.42.153,2052,2052,false,HKG,Asia Pacific,Hong Kong,95,2.66
47.242.252.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,227,2.65
47.242.54.157,2086,2086,false,HKG,Asia Pacific,Hong Kong,127,2.57
8.217.193.25,8080,8080,false,HKG,Asia Pacific,Hong Kong,161,2.55
47.242.234.127,2086,2086,false,HKG,Asia Pacific,Hong Kong,299,2.53
8.218.207.169,8080,8080,false,HKG,Asia Pacific,Hong Kong,471,2.50
47.238.6.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,190,2.45
8.210.156.6,2082,2082,false,HKG,Asia Pacific,Hong Kong,72,2.40
8.217.232.246,2096,2096,true,HKG,Asia Pacific,Hong Kong,248,2.39
8.210.9.129,2082,2082,false,HKG,Asia Pacific,Hong Kong,689,2.35
8.210.156.6,2083,2083,true,HKG,Asia Pacific,Hong Kong,230,2.32
47.76.204.76,2087,2087,true,HKG,Asia Pacific,Hong Kong,544,2.19
47.238.6.58,2053,2053,true,HKG,Asia Pacific,Hong Kong,197,2.18
8.218.207.169,2082,2082,false,HKG,Asia Pacific,Hong Kong,180,2.17
8.210.146.108,2086,2086,false,HKG,Asia Pacific,Hong Kong,151,2.13
47.76.204.76,8443,8443,true,HKG,Asia Pacific,Hong Kong,559,2.11
47.243.60.150,2096,2096,true,HKG,Asia Pacific,Hong Kong,131,2.09
47.242.42.153,2053,2053,true,HKG,Asia Pacific,Hong Kong,93,2.08
8.218.122.55,80,80,false,HKG,Asia Pacific,Hong Kong,334,2.08
47.243.27.217,2052,2052,false,HKG,Asia Pacific,Hong Kong,504,2.03
47.242.232.14,80,80,false,HKG,Asia Pacific,Hong Kong,28,1.99
47.243.27.217,2096,2096,true,HKG,Asia Pacific,Hong Kong,133,1.97
47.76.227.40,2096,2096,true,HKG,Asia Pacific,Hong Kong,101,1.96
47.76.233.67,2053,2053,true,HKG,Asia Pacific,Hong Kong,209,1.94
47.242.202.230,2052,2052,false,HKG,Asia Pacific,Hong Kong,346,1.93
47.243.203.119,2082,2082,false,HKG,Asia Pacific,Hong Kong,256,1.92
47.76.159.146,2095,2095,false,HKG,Asia Pacific,Hong Kong,38,1.92
47.242.155.183,2096,2096,true,HKG,Asia Pacific,Hong Kong,102,1.91
8.210.101.157,2082,2082,false,HKG,Asia Pacific,Hong Kong,223,1.91
8.218.81.14,2087,2087,true,HKG,Asia Pacific,Hong Kong,181,1.89
47.242.234.127,2096,2096,true,HKG,Asia Pacific,Hong Kong,265,1.88
47.242.252.237,8880,8880,false,HKG,Asia Pacific,Hong Kong,161,1.88
8.218.122.55,8880,8880,false,HKG,Asia Pacific,Hong Kong,340,1.85
8.217.85.14,2082,2082,false,HKG,Asia Pacific,Hong Kong,263,1.83
8.210.207.214,8080,8080,false,HKG,Asia Pacific,Hong Kong,506,1.83
47.76.29.115,2083,2083,true,HKG,Asia Pacific,Hong Kong,117,1.82
8.210.146.108,8443,8443,true,HKG,Asia Pacific,Hong Kong,110,1.77
47.242.42.153,2087,2087,true,HKG,Asia Pacific,Hong Kong,93,1.76
8.217.232.246,8443,8443,true,HKG,Asia Pacific,Hong Kong,159,1.76
47.242.176.237,8080,8080,false,HKG,Asia Pacific,Hong Kong,29,1.74
